f,S_ML
1260,3983.345313
1280,3418.744174
1300,2499.148373
1320,2582.30966
1340,2873.464827
1360,2612.335343
1380,3156.04521
1400,2942.814257
1420,3381.514378
1440,3314.161783
1460,2869.337568
1480,2863.390841
1500,2597.134821
1520,2149.510058
1540,2229.91719
1560,2306.942283
1580,2862.30136
1600,3243.839902
1620,2690.082163
1640,2431.463575
1660,2327.052351
1680,2271.201182
1700,2905.611353
1720,2898.557594
1740,3327.105836
1760,2935.728785
1780,2490.263498
1800,2652.026289
1820,3071.388149
1840,2307.880993
1860,1589.920006
1880,2075.883816
1900,2055.141092
1920,2054.610903
1940,2223.913842
1960,2277.413145
1980,2018.618186
2000,1657.003348
2020,1547.478401
2040,2171.583766
2060,1841.500336
2080,1430.714814
2100,1900.18522
2120,2974.536553
2140,2916.717164
2160,2490.148724
2180,1569.33848
2200,1474.559002
2220,1795.342233
2240,1571.977543
2260,1507.376898
2280,1644.448321
2300,1720.328505
2320,1781.658014
2340,1736.059723
2360,1762.596723
2380,1499.707026
2400,1906.89763
2420,1606.030712
2440,1610.297074
2460,1351.950463
2480,1528.740872
2500,1544.291306
2520,1187.702711
2540,1459.433604
2560,1548.378192
2580,1474.338748
2600,1920.888149
2620,1821.323683
2640,1478.426416
2660,1485.112624
2680,1566.089525
2700,1605.427715
2720,1441.7007
2740,1585.771136
2760,1627.088252
2780,1401.739672
2800,1054.646409
2820,1011.451926
2840,1430.898649
2860,1453.610405
2880,949.7496171
2900,1258.095362
2920,1505.413461
2940,1195.303185
2960,1222.017857
2980,1043.356733
3000,990.1729071
3020,907.4119377
3040,981.3263581
3060,1015.270907
3080,1005.790926
3100,1402.301176
3120,1201.234358
3140,696.4016463
3160,909.8616475
3180,966.1302607
3200,876.5787124
3220,1055.787576
3240,1085.0855
3260,1049.787475
3280,1280.379935
3300,1199.801782
3320,1312.629928
3340,1114.450327
3360,913.0401356
3380,754.0864746
3400,958.6598104
3420,1003.202621
3440,1034.48089
3460,1031.558473
3480,918.0666085
3500,982.6051311
3520,884.7084509
3540,764.7129651
3560,767.0562298
3580,996.4761835
3600,1092.60949
3620,813.5734517
3640,768.0939537
3660,1154.374692
3680,1021.546623
3700,1156.4298
3720,1418.012971
3740,1332.262556
3760,1060.147348
3780,1044.251857
3800,1139.340752
3820,949.5467838
3840,966.7217916
3860,1031.728383
3880,873.5287625
3900,867.0368813
3920,946.9742055
3940,699.0946464
3960,758.3342841
3980,930.8456383
4000,910.9676114
4020,857.5975782
4040,793.04209
4060,855.8031274
4080,1070.941006
4100,1330.068559
4120,1077.774429
4140,826.5842926
4160,1158.514033
4180,1106.662684
4200,687.3761305
4220,886.3751398
4240,1038.756721
4260,775.640157
4280,862.1872959
4300,906.883833
4320,1088.231961
4340,950.592245
4360,720.701273
4380,761.3392685
4400,908.4657751
4420,842.6080059
4440,726.6422714
4460,677.8574141
4480,700.2099238
4500,754.3986245
4520,650.3257372
4540,667.8260198
4560,634.3946912
4580,699.3276586
4600,727.5015148
4620,832.4528494
4640,894.6642719
4660,894.4712969
4680,763.8126681
4700,584.9568881
4720,678.7512015
4740,724.6759012
4760,851.5665373
4780,843.7418611
4800,862.0063704
4820,741.6744702
4840,723.5034261
4860,704.3593917
4880,859.1417557
4900,1037.384509
4920,952.6072367
4940,904.6153419
4960,810.9979079
4980,590.7972406
5000,598.592349
5020,554.547677
5040,462.2875828
5060,486.1660741
5080,592.5588155
5100,523.5058401
5120,637.4874087
5140,686.4879468
5160,822.6437582
5180,795.0253561
5200,674.4158132
5220,666.1517123
5240,621.1523401
5260,802.3735498
5280,769.8471751
5300,753.5192995
5320,697.7472062
5340,572.0211191
5360,585.2113513
5380,682.2027879
5400,588.5577407
5420,500.7115115
5440,593.27061
5460,654.8434426
5480,617.4268809
5500,577.6602667
5520,601.7318404
5540,554.040551
5560,536.4552212
5580,453.9716297
5600,569.8381043
5620,603.4743043
5640,514.2010214
5660,570.4158402
5680,574.9854871
5700,542.7346001
5720,647.2327273
5740,776.784224
5760,583.6045189
5780,605.2200747
5800,611.5952561
5820,641.8215376
5840,680.6287205
5860,659.8945111
5880,552.1824631
5900,481.4587804
5920,660.4775099
5940,690.4247601
5960,651.5421143
5980,674.7386529
6000,726.1339106
6020,593.7466441
6040,456.3752909
6060,473.8834834
6080,642.1399266
6100,540.3251901
6120,534.7383378
6140,587.6462982
6160,643.9524907
6180,594.1140078
6200,673.6994007
6220,572.2191687
6240,470.685695
6260,646.0190598
6280,596.0359742
6300,570.6322442
6320,557.9049669
6340,481.8209382
6360,569.371564
6380,578.0769088
6400,616.0274856
6420,557.7032702
6440,538.3013425
6460,535.5286983
6480,507.2813848
6500,629.5185375
6520,531.5534058
6540,712.4417241
6560,603.8009251
6580,756.010329
6600,660.6613787
6620,507.6032431
6640,522.5685358
6660,578.4333806
6680,651.4197516
6700,555.9155765
