f,S_rock
324,4557.706766
326,2740.117431
328,3061.847683
330,6617.349377
332,6033.096948
334,5150.890556
336,3870.014176
338,3801.235692
340,3329.102939
342,4647.616694
344,5124.589185
346,4900.605659
348,3566.251826
350,3199.132128
352,3031.84653
354,3600.76216
356,4022.873586
358,4587.072231
360,4720.683592
362,2987.482316
364,3562.408808
366,3516.552502
368,3467.584668
370,4606.592366
372,3533.213698
374,2990.933972
376,3645.051995
378,4022.390801
380,3868.348884
382,3771.308342
384,3056.634235
386,2451.486666
388,3125.066251
390,3457.929704
392,3279.09572
394,3026.079966
396,4079.943319
398,3803.124147
400,5474.811181
402,4408.769434
404,3770.262094
406,3092.85938
408,3364.02842
410,2341.825636
412,2598.749551
414,3117.036132
416,3951.213651
418,4913.668198
420,4813.54749
422,2270.882939
424,3076.476934
426,4349.991453
428,4376.432953
430,3668.579533
432,3001.215218
434,2807.368473
436,3841.443421
438,6151.454075
440,4306.637213
442,3019.766595
444,3143.711231
446,3836.530772
448,4341.669609
450,4672.562696
452,3785.766526
454,4183.206171
456,6294.262937
458,4631.669634
460,5346.021841
462,3447.675637
464,3329.1641
466,2737.123213
468,2910.055257
470,4109.587442
472,3349.304732
474,2011.738414
476,3325.520949
478,3361.075232
480,3722.530891
482,3420.515812
484,3586.081599
486,2932.797168
488,3698.538906
490,3813.619999
492,3866.563442
494,3008.452402
496,3542.373754
498,4002.377854
500,4154.983566
502,3128.071945
504,3768.15788
506,3975.329233
508,3645.551549
510,6318.253277
512,5836.427963
514,3173.925286
516,3107.436459
518,2537.737648
520,2825.279573
522,4519.599412
524,3861.134772
526,2833.095858
528,2016.357092
530,2669.603408
532,4107.810742
534,4251.922854
536,3732.43407
538,4991.730539
540,4463.539622
542,3384.905186
544,3782.07116
546,5001.622359
548,3634.767138
550,2340.856049
552,4323.87363
554,5828.638424
556,4555.65008
558,2929.242084
560,4989.189786
562,5439.477425
564,3113.410331
566,3492.534363
568,3730.4527
570,3203.356583
572,3715.630644
574,4270.018295
576,5786.51619
578,5504.39084
580,5589.138042
582,3995.121057
584,4955.754082
586,5988.29073
588,4103.113358
590,2797.164026
592,3612.223599
594,4527.267592
596,4669.440572
598,2826.061194
600,2454.769551
602,2379.624303
604,3314.685909
606,3133.099087
608,1843.190025
610,3192.873677
612,3906.961782
614,2806.36906
616,2228.865491
618,2910.888442
620,4078.293609
622,2756.131876
624,2399.934172
626,1959.233884
628,3040.701592
630,2497.201683
632,3412.847327
634,4082.198015
636,1916.042699
638,3131.676052
640,4881.270672
642,2995.037414
644,1364.239434
646,3194.635537
648,3429.346215
650,3714.042302
652,5104.364877
654,4809.293094
656,3768.762181
658,3939.281033
660,2294.826941
662,2057.180343
664,2955.089292
666,3372.772992
668,3648.007431
670,2291.816469
672,3210.626327
674,2919.525213
676,2733.89199
678,3184.147172
680,2561.14689
682,2750.372402
684,3394.115159
686,3685.63307
688,3646.730231
690,3205.592375
692,2522.481315
694,2847.807002
696,2438.034802
698,3574.013187
700,3364.977487
